Revenue Stream by Service,January,February,March,April,May,June,July,August,September,October,November,December,Year
99439,0,0,0,3210.75,3910.5,3384,4769.5,4077.5,5960.5,4107,4551.16,6381.82,2021
99453,0,0,0,1591.75,100,522,78,103.6,0,35.1,420,276,2021
99454,0,0,0,8822.75,9334,15242,17588.5,19214.16,20430,17418.46,16703.62,15221.72,2021
99457,0,0,0,6129,4667,4888,7351.75,5979.6,8246.25,9323.8,8651.13,9459.92,2021
99458,0,0,0,2746.5,1710,2259.5,3044,1718.63,2173.5,2327.55,3517.02,3819.78,2021
99490,0,0,0,8070.25,6320,6456,7375,8197.42,10286,9521,9674.63,10865.55,2021
G0511,0,0,0,0,0,1316,940,893,1410,1222,1034,1175,2021
99426,0,0,0,37.25,0,0,0,42.25,1,0,0,77.5,2022
99427,0,0,0,0,0,0,0,30.5,0,0,0,0,2022
99439,6056.83,12146.5,10685.5,12825.5,13541,11026.5,24726.5,7105.75,12367.5,9738.75,6747.75,16217.25,2022
99453,144,144,24,192,0,0,0,138,189,84,604,164,2022
99454,17452.9,13832.09,11446.49,12776.49,8874.58,12266.11,19195.02,12289.24,17402.65,20199.4,20751.53,45506.8,2022
99457,9709.6,7461,5745.25,6193.75,5838.5,6707.25,12836.5,8347.5,13331,14908.75,12483.5,27454.75,2022
99458,3909.05,1936.75,4270,4528,4372.5,3001.5,6371.5,6884,8788.5,9172.75,6647,17140.75,2022
99484,0,0,0,0,25.25,0,0,0,0,88.5,0,0,2022
99490,10920.92,16551.5,12778.25,14523,18156.25,16957.5,38237.5,14944,29074.75,21773.5,21128.75,51873,2022
99426,0,0,0,0,0,0,0,0,0,0,0,0,2023
99427,0,0,0,0,0,0,0,0,0,0,0,0,2023
99439,221.5,12456.5,9500.75,0,0,0,0,0,0,0,0,0,2023
99453,56,472.5,421,0,0,0,0,0,0,0,0,0,2023
99454,782,25762.49,24009.95,0,0,0,0,0,0,0,0,0,2023
99457,447,15381,12663.75,0,0,0,0,0,0,0,0,0,2023
99458,61,10605.5,7773.25,0,0,0,0,0,0,0,0,0,2023
99484,399,29.5,59,0,0,0,0,0,0,0,0,0,2023
99490,240,26841.25,23068.5,0,0,0,0,0,0,0,0,0,2023
